tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres
tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122,Drama
tt0111414,A Thin Life,A Thin Life,2018,75,Comedy
tt0170651,T.G.M. - osvoboditel,T.G.M. - osvoboditel,2018,60,Documentary
tt0192528,Heaven & Hell,Reverse Heaven,2018,104,Drama
tt0253093,Gangavataran,Gangavataran,2018,134,\N
tt0262759,Seven Jews from My Class,Siedmiu Zydów z mojej klasy,2018,40,Documentary
tt0276568,To Chase a Million,To Chase a Million,2018,97,"Action,Drama"
tt0328810,My Land,Aamaar Bhuvan,2018,102,"Drama,Family"
tt0337981,A Documentary on the Making of 'Gore Vidal's Caligula',A Documentary on the Making of 'Gore Vidal's Caligula',2018,62,"Adult,Documentary"
tt0347307,The Stone Cross,Kaminnyy khrest,2018,80,Drama
tt0360556,Fahrenheit 451,Fahrenheit 451,2018,100,"Drama,Sci-Fi,Thriller"
tt0365545,Nappily Ever After,Nappily Ever After,2018,98,"Comedy,Drama,Romance"
tt0427543,A Million Little Pieces,A Million Little Pieces,2018,113,Drama
tt0432010,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,2018,110,Comedy
tt0825334,Caravaggio and My Mother the Pope,Caravaggio and My Mother the Pope,2018,90,"Comedy,Drama"
tt0850247,Amsteroid,Amsteroid,2018,98,Sci-Fi
tt0859635,Super Troopers 2,Super Troopers 2,2018,99,"Comedy,Crime,Mystery"
tt0862930,Dukun,Dukun,2018,108,"Horror,Thriller"
tt0891581,RxCannabis: A Freedom Tale,RxCannabis: A Freedom Tale,2018,83,Documentary
tt0972544,Back Roads,Back Roads,2018,101,"Crime,Drama,Thriller"
tt10003350,Lusitanian Ghosts,Lusitanian Ghosts,2018,70,"Documentary,Music"
tt10005184,Lysis,Lysis,2018,98,Adventure
tt10009602,Meu Nome é Daniel,Meu Nome é Daniel,2018,82,Documentary
tt10009960,The Stateless Diplomat,The Stateless Diplomat,2018,79,Documentary
tt10013634,Cinderella,Cinderella,2018,150,Musical
tt10014042,Forced Marriage,Forced Marriage,2018,52,"Comedy,Drama"
tt10016428,Vargit zamani,Vargit zamani,2018,52,Documentary
tt10017502,Lost Einstein,Lost Einstein,2018,48,"Drama,Sci-Fi"
tt10017510,One Family,One Family,2018,87,Documentary
tt10017708,Empty Temple,Empty Temple,2018,13,"Documentary,History"
tt10018116,Stage 3,Stage 3,2018,90,Action
tt10019866,A Ilha Invisível,A Ilha Invisível,2018,44,"Documentary,Music"
tt10021622,16 Bars,16 Bars,2018,94,Documentary
tt10021804,Don't Work (1968 - 2018),Ne travaille pas (1968 - 2018),2018,88,Documentary
tt10022158,Worlds of Ursula K. Le Guin,Worlds of Ursula K. Le Guin,2018,68,Documentary
tt10022684,Anuttara,Anuttara,2018,86,Drama
tt10022800,A Song In The Storm,A Song In The Storm,2018,105,Documentary
tt10022824,A Song in the Storm,A Song in the Storm,2018,105,Documentary
tt10026686,Piedone nyomában,Piedone nyomában,2018,65,Documentary
tt10026722,1200+ Dir,1200+ Dir,2018,89,Documentary
tt10027174,Saboa,Saboa,2018,60,Drama
tt10027474,Night of the Dead Geisha,Onsen shikabane geisha,2018,48,"Comedy,Horror"
tt10028708,Stay,Stay,2018,87,"Drama,Romance"
tt10028766,Nationalmuseum - ljuset återvänder,Nationalmuseum - ljuset återvänder,2018,58,Documentary
tt10034236,Super Sketch,Super Sketch,2018,119,Thriller
tt10034256,The Place of the Three Waterfalls. Little Stories of Hiroshima,The Place of the Three Waterfalls. Little Stories of Hiroshima,2018,65,Documentary
tt10036714,Alone - The Legend of Miriam Yalan-Shtekelis,Levaditi - Agada al Miriam Yalan-Shteklis,2018,55,Documentary
tt10037382,El Hombre de la Montaña,El Hombre de la Montaña,2018,70,Documentary
tt10037872,Matoma: One in a Million,Matoma: One in a Million,2018,78,"Documentary,Music"
tt10039682,Paranaue: The Documentary,Paranaue: The Documentary,2018,62,"Documentary,Music"
tt10040484,A Idade da Água,A Idade da Água,2018,82,Documentary
tt10043732,Oblepikhovoe leto,Oblepikhovoe leto,2018,87,"Biography,Drama"
tt10043990,Lo peor de los deseos,Lo peor de los deseos,2018,93,Thriller
tt10045014,Rangu,Rangu,2018,156,Action
tt10047356,Eises Kälte - Frozen in Time,Eises Kälte - Frozen in Time,2018,92,Mystery
tt10048332,Gente de Zona: En Letra De Otro,Gente de Zona: En Letra De Otro,2018,54,"Documentary,Music"
tt10049152,Pur laine,Pur laine,2018,88,"Comedy,Drama"
tt10049210,The Sentries,The Sentries,2018,73,Family
tt10049238,Joan Miró: The Inner Fire,Miró contra Miró,2018,61,Documentary
tt10050592,The Age of Sebastian,The Age of Sebastian,2018,70,Drama
tt10050722,Thing I Don't Get,Thing I Don't Get,2018,71,Drama
tt10051124,Crossing the river of life,Crossing the river of life,2018,55,Documentary
tt10052156,Shell and Joint,Shell and Joint,2018,154,Drama
tt10052452,Jeremiah's Woods,Jeremiah's Woods,2018,83,"Comedy,Horror"
tt10054198,Vogel Lost Vogel,Ibed Fogel et Fogel,2018,55,Documentary
tt10054330,I Miss Oromia,I Miss Oromia,2018,86,Documentary
tt10056028,Fatei and the sea,Fatei and the sea,2018,76,Documentary
tt10056070,Das Bürgermeistermädchen,Das Bürgermeistermädchen,2018,57,"Comedy,Drama"
tt10056330,Rotenberg,Rotenberg,2018,78,Documentary
tt10056334,Octubre,Octubre,2018,80,Documentary
tt10056564,La fin da la val l'è mia la fin dal mund,La fin da la val l'è mia la fin dal mund,2018,63,Documentary
tt10062150,Yücel'in Çiçekleri,Yücel'in Çiçekleri,2018,69,"Documentary,History"
tt10062286,Lustrum,Lustrum,2018,90,Documentary
tt10063078,Antropofaga Makumba,Antropofaga Makumba,2018,86,Drama
tt10066102,Red Velvet,Red Velvet,2018,11,Drama
tt10066396,Dr Prasad c/o sitara,Dr Prasad c/o sitara,2018,97,"Comedy,Horror,Thriller"
tt10066646,Agaton,Agaton,2018,45,"Biography,Documentary,Drama"
tt10073458,But What Was She Wearing?,But What Was She Wearing?,2018,110,Documentary
